,workerid,language,correct,idiom,response,result,rt,Affect
292,120,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,something of no value,incorrect,17034.0,Negative
293,71,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,unease and discomfort in a guilty person,correct,15774.0,Negative
294,49,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,unease and discomfort in a guilty person,correct,9737.0,Negative
295,79,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,unease and discomfort in a guilty person,correct,14791.0,Negative
296,55,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,a hidden advantage,incorrect,24855.0,Negative
297,44,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,unease and discomfort in a guilty person,correct,11962.0,Negative
298,42,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,something of no value,incorrect,8795.0,Negative
299,54,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,unease and discomfort in a guilty person,correct,18620.0,Negative
300,96,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,a hidden advantage,incorrect,8017.0,Negative
301,67,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,unease and discomfort in a guilty person,correct,12634.0,Negative
302,125,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,a hidden advantage,incorrect,9312.0,Negative
303,66,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,a hidden advantage,incorrect,12791.0,Negative
304,99,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,a hidden advantage,incorrect,7411.0,Negative
305,98,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,a hidden advantage,incorrect,32483.0,Negative
306,51,Hindi,unease and discomfort in a guilty person,a blade of grass in the thief's beard,unease and discomfort in a guilty person,correct,13302.0,Negative
307,126,Russian,one cannot find time to do something ,one's hands do not reach,something is too difficult to achieve,incorrect,10866.0,Neutral
308,45,Russian,one cannot find time to do something ,one's hands do not reach,something is too difficult to achieve,incorrect,8059.0,Neutral
309,107,Russian,one cannot find time to do something ,one's hands do not reach,one does not have the authority to do something,incorrect,14234.0,Neutral
310,111,Russian,one cannot find time to do something ,one's hands do not reach,something is too difficult to achieve,incorrect,11649.0,Neutral
311,91,Russian,one cannot find time to do something ,one's hands do not reach,one cannot find time to do something ,correct,22250.0,Neutral
312,104,Russian,one cannot find time to do something ,one's hands do not reach,something is too difficult to achieve,incorrect,10598.0,Neutral
313,89,Russian,one cannot find time to do something ,one's hands do not reach,something is too difficult to achieve,incorrect,8976.0,Neutral
314,97,Russian,one cannot find time to do something ,one's hands do not reach,one does not have the money to do something,incorrect,10694.0,Neutral
315,120,Russian,one cannot find time to do something ,one's hands do not reach,one does not have the money to do something,incorrect,14084.0,Neutral
316,71,Russian,one cannot find time to do something ,one's hands do not reach,one cannot find time to do something ,correct,13227.0,Neutral
317,115,Russian,one cannot find time to do something ,one's hands do not reach,one does not have the authority to do something,incorrect,33943.0,Neutral
318,46,Russian,one cannot find time to do something ,one's hands do not reach,one does not have the authority to do something,incorrect,28860.0,Neutral
319,80,Russian,one cannot find time to do something ,one's hands do not reach,something is too difficult to achieve,incorrect,5573.0,Neutral
320,56,Russian,one cannot find time to do something ,one's hands do not reach,something is too difficult to achieve,incorrect,4331.0,Neutral
321,112,Russian,one cannot find time to do something ,one's hands do not reach,one does not have the authority to do something,incorrect,7888.0,Neutral
322,101,Russian,one cannot find time to do something ,one's hands do not reach,something is too difficult to achieve,incorrect,17587.0,Neutral
323,34,Russian,one cannot find time to do something ,one's hands do not reach,one does not have the money to do something,incorrect,15064.0,Neutral
324,38,Russian,one cannot find time to do something ,one's hands do not reach,one does not have the authority to do something,incorrect,11434.0,Neutral
325,126,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to lack elegance,incorrect,12703.0,Neutral
326,85,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to be very close to each other or to do everything together,correct,8643.0,Neutral
327,91,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to not get along,incorrect,32655.0,Neutral
328,65,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to be very close to each other or to do everything together,correct,19515.0,Neutral
329,104,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to not get along,incorrect,12632.0,Neutral
330,84,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to be very close to each other or to do everything together,correct,10427.0,Neutral
331,29,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to lack elegance,incorrect,5350.0,Neutral
332,108,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to be very close to each other or to do everything together,correct,9000.0,Neutral
333,86,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to be very close to each other or to do everything together,correct,9606.0,Neutral
334,115,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to not get along,incorrect,13835.0,Neutral
335,70,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to be very close to each other or to do everything together,correct,27974.0,Neutral
336,80,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to be very close to each other or to do everything together,correct,6340.0,Neutral
337,79,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to lack elegance,incorrect,12099.0,Neutral
338,106,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to not get along,incorrect,7869.0,Neutral
339,42,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to be very difficult or challenging,incorrect,8036.0,Neutral
340,114,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to lack elegance,incorrect,6318.0,Neutral
341,101,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to be very close to each other or to do everything together,correct,15841.0,Neutral
342,51,Spanish,to be very close to each other or to do everything together,to be like nails and dirt,to lack elegance,incorrect,15068.0,Neutral
343,126,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,16066.0,Positive
344,45,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,9156.0,Positive
345,73,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to exaggerate something,incorrect,21361.0,Positive
346,57,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,14046.0,Positive
347,65,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to pay close attention to details,incorrect,13486.0,Positive
348,104,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to exaggerate something,incorrect,8036.0,Positive
349,110,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,40503.0,Positive
350,53,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to pay close attention to details,incorrect,7120.0,Positive
351,60,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,64088.0,Positive
352,64,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,20591.0,Positive
353,35,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,7460.0,Positive
354,119,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,9393.0,Positive
355,92,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,8902.0,Positive
356,96,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to pay close attention to details,incorrect,7419.0,Positive
357,59,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to pay close attention to details,incorrect,23821.0,Positive
358,67,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,19470.0,Positive
359,100,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,12254.0,Positive
360,99,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,20617.0,Positive
361,47,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,13562.0,Positive
362,124,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to pay close attention to details,incorrect,12198.0,Positive
363,78,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,18141.0,Positive
364,130,Mandarin Chinese,to improve something that is already good by focusing on the key details,to add eyes when painting a dragon,to improve something that is already good by focusing on the key details,correct,15126.0,Positive
365,126,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to become overpowered by something that was originally easy to control,incorrect,15519.0,Negative
366,105,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to make a problem bigger than it is ,correct,5832.0,Negative
367,62,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to become overpowered by something that was originally easy to control,incorrect,13121.0,Negative
368,110,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to make a problem bigger than it is ,correct,39135.0,Negative
369,53,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to become overpowered by something that was originally easy to control,incorrect,11170.0,Negative
370,93,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to make a problem bigger than it is ,correct,15847.0,Negative
371,29,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to feel great sadness,incorrect,14553.0,Negative
372,131,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to feel great sadness,incorrect,11723.0,Negative
373,31,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to make a problem bigger than it is ,correct,36337.0,Negative
374,46,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to make a problem bigger than it is ,correct,12095.0,Negative
375,88,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to become overpowered by something that was originally easy to control,incorrect,14244.0,Negative
376,121,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to become overpowered by something that was originally easy to control,incorrect,13848.0,Negative
377,56,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to make a problem bigger than it is ,correct,7550.0,Negative
378,61,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to become overpowered by something that was originally easy to control,incorrect,13322.0,Negative
379,125,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to become overpowered by something that was originally easy to control,incorrect,11265.0,Negative
380,47,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to deeply involve yourself in something,incorrect,34839.0,Negative
381,68,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to become overpowered by something that was originally easy to control,incorrect,8519.0,Negative
382,124,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to make a problem bigger than it is ,correct,7893.0,Negative
383,98,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to make a problem bigger than it is ,correct,13402.0,Negative
384,82,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to make a problem bigger than it is ,correct,8744.0,Negative
385,90,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to make a problem bigger than it is ,correct,9602.0,Negative
386,38,Spanish,to make a problem bigger than it is ,to drown oneself in a glass of water,to become overpowered by something that was originally easy to control,incorrect,9750.0,Negative
387,126,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to be a small and meaningless effort for a large problem,correct,5544.0,Negative
388,93,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to be inconvenient,incorrect,19758.0,Negative
389,84,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to be a small and meaningless effort for a large problem,correct,14684.0,Negative
390,58,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to be inconvenient,incorrect,16444.0,Negative
391,50,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to have great influence or power even though one is small,incorrect,16636.0,Negative
392,28,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to have great influence or power even though one is small,incorrect,12677.0,Negative
393,131,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to have great influence or power even though one is small,incorrect,19459.0,Negative
394,69,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to be a small and meaningless effort for a large problem,correct,11549.0,Negative
395,109,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to have great influence or power even though one is small,incorrect,16821.0,Negative
396,70,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to be inconvenient,incorrect,17968.0,Negative
397,88,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to be inconvenient,incorrect,17783.0,Negative
398,116,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to have great influence or power even though one is small,incorrect,17794.0,Negative
399,101,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to have great influence or power even though one is small,incorrect,17382.0,Negative
400,54,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to have a good effect on a negative situation,incorrect,12742.0,Negative
401,47,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to be a small and meaningless effort for a large problem,correct,20652.0,Negative
402,75,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to have great influence or power even though one is small,incorrect,63389.0,Negative
403,98,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to be inconvenient,incorrect,25867.0,Negative
404,37,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to be a small and meaningless effort for a large problem,correct,33168.0,Negative
405,78,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to have great influence or power even though one is small,incorrect,27430.0,Negative
406,38,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to be a small and meaningless effort for a large problem,correct,35056.0,Negative
407,130,Hindi,to be a small and meaningless effort for a large problem,to be a cumin seed in a camel's mouth,to have great influence or power even though one is small,incorrect,14867.0,Negative
408,126,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be extremely happy or excited about some news,correct,5743.0,Positive
409,32,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,6996.0,Positive
410,86,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,6328.0,Positive
411,131,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,7242.0,Positive
412,122,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,28869.0,Positive
413,31,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be extremely happy or excited about some news,correct,7568.0,Positive
414,127,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,9606.0,Positive
415,72,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,5944.0,Positive
416,106,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be extremely happy or excited about some news,correct,5862.0,Positive
417,92,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,5727.0,Positive
418,44,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,5059.0,Positive
419,121,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be extremely happy or excited about some news,correct,21983.0,Positive
420,116,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,9216.0,Positive
421,43,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,5601.0,Positive
422,112,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,5823.0,Positive
423,101,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,8988.0,Positive
424,125,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to quickly abandon responsibilities without fear of consequences,incorrect,15066.0,Positive
425,75,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,18196.0,Positive
426,34,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,7317.0,Positive
427,38,Russian,to be extremely happy or excited about some news,to jump out of one's pants,to be very scared,incorrect,13924.0,Positive
428,126,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,something that cannot be imagined,incorrect,5115.0,Neutral
429,85,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,8263.0,Neutral
430,105,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,9762.0,Neutral
431,103,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,many opportunities,incorrect,5964.0,Neutral
432,94,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,many opportunities,incorrect,10687.0,Neutral
433,110,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,many difficulties,incorrect,44493.0,Neutral
434,53,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,many difficulties,incorrect,10688.0,Neutral
435,30,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,13512.0,Neutral
436,63,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,many difficulties,incorrect,12357.0,Neutral
437,76,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,11960.0,Neutral
438,58,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,many opportunities,incorrect,22833.0,Neutral
439,69,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,7343.0,Neutral
440,31,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,11803.0,Neutral
441,60,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,57839.0,Neutral
442,70,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,15373.0,Neutral
443,88,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,many difficulties,incorrect,18157.0,Neutral
444,79,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,many difficulties,incorrect,9738.0,Neutral
445,42,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,16932.0,Neutral
446,54,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,many difficulties,incorrect,14620.0,Neutral
447,66,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,5894.0,Neutral
448,95,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,9359.0,Neutral
449,98,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,something that cannot be imagined,incorrect,24930.0,Neutral
450,130,Mandarin Chinese,a long and tiring journey,a thousand mountains and ten thousand waters,a long and tiring journey,correct,10998.0,Neutral
451,126,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,7630.0,Neutral
452,73,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is better to take late action and prevent more damage than to take no action,correct,51778.0,Neutral
453,107,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,30147.0,Neutral
454,57,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,12122.0,Neutral
455,87,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,9314.0,Neutral
456,89,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,11136.0,Neutral
457,50,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is better to take late action and prevent more damage than to take no action,correct,26213.0,Neutral
458,28,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is better to take late action and prevent more damage than to take no action,correct,9630.0,Neutral
459,60,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,to not notice when something has gone wrong,incorrect,31537.0,Neutral
460,127,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,27532.0,Neutral
461,109,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,16342.0,Neutral
462,70,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,23136.0,Neutral
463,46,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,18376.0,Neutral
464,88,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,21999.0,Neutral
465,44,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,12919.0,Neutral
466,42,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,14868.0,Neutral
467,43,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,18445.0,Neutral
468,48,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,15807.0,Neutral
469,101,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is better to take late action and prevent more damage than to take no action,correct,32060.0,Neutral
470,59,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,14302.0,Neutral
471,67,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,10296.0,Neutral
472,66,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,6828.0,Neutral
473,75,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,8063.0,Neutral
474,68,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,26015.0,Neutral
475,98,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,24876.0,Neutral
476,82,Mandarin Chinese,it is better to take late action and prevent more damage than to take no action,to mend the pen after the sheep is lost,it is useless to fix a problem after it happened ,incorrect,19819.0,Neutral
477,126,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,an unlikely situation,incorrect,5161.0,Negative
478,113,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,30339.0,Negative
479,117,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,8400.0,Negative
480,73,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,10573.0,Negative
481,111,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,18454.0,Negative
482,41,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,6712.0,Negative
483,110,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,55492.0,Negative
484,128,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,to understand another person's point of view,incorrect,14246.0,Negative
485,89,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,10693.0,Negative
486,30,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,13629.0,Negative
487,76,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,4070.0,Negative
488,120,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,an unlikely situation,incorrect,9103.0,Negative
489,131,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,14693.0,Negative
490,69,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,13030.0,Negative
491,115,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,7045.0,Negative
492,49,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,to understand another person's point of view,incorrect,8430.0,Negative
493,64,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,10548.0,Negative
494,70,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,7296.0,Negative
495,72,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,41727.0,Negative
496,119,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,14744.0,Negative
497,100,Hindi,the person who made a mistake is blaming the one who caught them,the thief is scolding the policeman,the person who made a mistake is blaming the one who caught them,correct,10364.0,Negative
498,126,Hindi,to fool someone,to make an owl of someone,to teach someone,incorrect,7976.0,Negative
499,85,Hindi,to fool someone,to make an owl of someone,to teach someone,incorrect,7122.0,Negative
500,117,Hindi,to fool someone,to make an owl of someone,to teach someone,incorrect,13317.0,Negative
501,107,Hindi,to fool someone,to make an owl of someone,to teach someone,incorrect,10233.0,Negative
502,91,Hindi,to fool someone,to make an owl of someone,to fool someone,correct,20956.0,Negative
503,84,Hindi,to fool someone,to make an owl of someone,to fool someone,correct,5578.0,Negative
504,86,Hindi,to fool someone,to make an owl of someone,to teach someone,incorrect,6431.0,Negative
505,122,Hindi,to fool someone,to make an owl of someone,to teach someone,incorrect,12562.0,Negative
506,115,Hindi,to fool someone,to make an owl of someone,to fool someone,correct,35918.0,Negative
507,49,Hindi,to fool someone,to make an owl of someone,to fool someone,correct,10004.0,Negative
508,88,Hindi,to fool someone,to make an owl of someone,to teach someone,incorrect,8260.0,Negative
509,79,Hindi,to fool someone,to make an owl of someone,to teach someone,incorrect,4933.0,Negative
510,106,Hindi,to fool someone,to make an owl of someone,to fool someone,correct,4079.0,Negative
511,121,Hindi,to fool someone,to make an owl of someone,to treat someone like a child,incorrect,7886.0,Negative
512,48,Hindi,to fool someone,to make an owl of someone,to teach someone,incorrect,13457.0,Negative
